which_UN_goal,Keywords,Concern w.r.t. precision,Concern w.r.t. recall,"python_checker (default = string_match, other_options=nltk.word_tokenize + match; lower_case+remove_non_alphabet+string_match",example words
poverty,poverty,,,,
hunger,agricultur,,,"lambda keyword, title: any(word.startswith(keyword.lower()) for word in title.lower().split())",
hunger,hunger,,,,
health,anorexia,,,,
health,autis,,,"lambda keyword, title: any(word.startswith(keyword.lower()) for word in title.lower().split())","autism, autistic"
health,bio,,,"(exclude some) lambda keyword, title: any(word.startswith(keyword.lower()) for word in title.lower().replace('{', '').replace('}', '').split())",biomedical
health,bioevent,,,"lambda keyword, title: not (any(word.startswith(keyword.lower()) for word in title.lower().replace('-', '').split()))",bio-events
health,biograph,,,"lambda keyword, title: not (any(word.startswith(keyword.lower()) for word in title.lower().split()))",
health,blind,low precision,,"lambda keyword, title: any(word.startswith(keyword.lower()) for word in title.lower().split())",
health,bulimia,,,,
health,cancer,,,"lambda keyword, title: any(word.startswith(keyword.lower()) for word in title.lower().split())",
health,clinic,,,,"clinical,preclinical"
health,counsel,,,"lambda keyword, title: any(word.startswith(keyword.lower()) for word in title.lower().split())","counselor, counseling"
health,covid,,,,
health,dementia,,,,
health,depression,,,,
health,disease,,,,
health,disorder,,,,
health,drug,,,,
health,electro,medium precision (electronic),,"lambda keyword, title: any(word.startswith(keyword.lower()) for word in title.lower().split())",
health,empath,,,"lambda keyword, title: any(word.startswith(keyword.lower()) for word in title.lower().split())",
health,health,,,,"mental health, unhealthy"
health,hope speech,,,,
health,infant,,,,
health; gender_equality,matern,,,"lambda keyword, title: any(word.startswith(keyword.lower()) for word in title.lower().split())","maternity, maternal"
health,mortal,,,"lambda keyword, title: any(word.startswith(keyword.lower()) for word in title.lower().split())",
health,medic,,,"lambda keyword, title: any(word.startswith(keyword.lower()) for word in title.lower().split())","medical, medicine, medication"
health,misogyny,,,,
health,MRI,,,"lambda keyword, title: keyword in title",
health,patient,low precision,,"lambda keyword, title: any(word.startswith(keyword.lower()) for word in title.lower().split())",
health,pregnan,,,"lambda keyword, title: any(word.startswith(keyword.lower()) for word in title.lower().split())","pregnancy, pregnant"
health,protein,,,,
health,psych,,,,psychiatric， psychological， psychology， psychotherapy Neuropsychological
health,self-harm,,,,
health,suicid,,,"lambda keyword, title: any(word.startswith(keyword.lower()) for word in title.lower().split())",
health,symptom,,,"lambda keyword, title: any(word.startswith(keyword.lower()) for word in title.lower().split())",
health,therapeutic,,,,
health,therapist,,,,
health,therapy,,,,
health,vaccin,,,"lambda keyword, title: any(word.startswith(keyword.lower()) for word in title.lower().split())","vaccination, vaccine"
health,vulnerable,low precision,,,
education,academic,,,"lambda keyword, title: any(word.startswith(keyword.lower()) for word in title.lower().split())",
education,duolingo,,,"lambda keyword, title: keyword.lower() in title.lower()",
education,educat,,,"lambda keyword, title: any(word.startswith(keyword.lower()) for word in title.lower().split())",
education,grading,,,,
education,GRE,,,"lambda keyword, title: keyword in title.lower().split()",
education,IELTS,,,"lambda keyword, title: keyword in title.lower().split()",
education,learn,low precision,,,
education,MOOC,,,"lambda keyword, title: keyword in title",
education,second language,,,,
education,SAT,,,"lambda keyword, title: keyword in title.lower().split()",
education,pedagog,,,"lambda keyword, title: any(word.startswith(keyword.lower()) for word in title.lower().split())",
education,plagiarism,,,,
education,student,,,"lambda keyword, title: any(word.startswith(keyword.lower()) for word in title.lower().split())",
education,teaching,,,"lambda keyword, title: any(word.startswith(keyword.lower()) for word in title.lower().split())",
