links,name,event,SG_or_not,UN_goal
https://aclanthology.org/volumes/S12-1/,"*SEM 2012: The First Joint Conference on Lexical and Computational Semantics – Volume 1: Proceedings of the main conference and the shared task, and Volume 2: Proceedings of the Sixth International Workshop on Semantic Evaluation (SemEval 2012)",S12-1,0,
https://aclanthology.org/volumes/2020.isa-1/,16th Joint ACL - ISO Workshop on Interoperable Semantic Annotation PROCEEDINGS,2020.isa-1,0,
https://aclanthology.org/volumes/W00-10/,1st SIGdial Workshop on Discourse and Dialogue,W00-10,0,
https://aclanthology.org/volumes/2020.nl4xai-1/,2nd Workshop on Interactive Natural Language Technology for Explainable Artificial Intelligence,2020.nl4xai-1,0,
https://aclanthology.org/volumes/P13-3/,51st Annual Meeting of the Association for Computational Linguistics Proceedings of the Student Research Workshop,P13-3,0,
https://aclanthology.org/volumes/2000.eamt-1/,5th EAMT Workshop: Harvesting Existing Resources,2000.eamt-1,0,
https://aclanthology.org/volumes/W07-12/,ACL 2007 Workshop on Deep Linguistic Processing,W07-12,0,
https://aclanthology.org/volumes/W00-11/,ACL-2000 Workshop on Recent Advances in Natural Language Processing and Information Retrieval,W00-11,0,
https://aclanthology.org/volumes/W00-08/,ACL-2000 Workshop on Word Senses and Multi-linguality,W00-08,0,
https://aclanthology.org/volumes/1997.mtsummit-workshop/,AMTA/SIG-IL First Workshop on Interlinguas,1997.mtsummit-workshop,0,
https://aclanthology.org/volumes/W00-03/,ANLP-NAACL 2000 Workshop: Conversational Systems,W00-03,0,
https://aclanthology.org/volumes/W00-05/,ANLP-NAACL 2000 Workshop: Embedded Machine Translation Systems,W00-05,0,
https://aclanthology.org/volumes/W00-06/,ANLP-NAACL 2000 Workshop: Reading Comprehension Tests as Evaluation for Computer-Based Language Understanding Systems,W00-06,0,
https://aclanthology.org/volumes/A00-4/,Author Index to the Proceedings of ANLP-NAACL 2000 and the Student Research Workshop,A00-4,0,
https://aclanthology.org/volumes/2009.mtsummit-btm/,Beyond Translation Memories: New Tools for Translators Workshop,2009.mtsummit-btm,0,
https://aclanthology.org/volumes/W12-24/,BioNLP: Proceedings of the 2012 Workshop on Biomedical Natural Language Processing,W12-24,1,health
https://aclanthology.org/volumes/W08-18/,Coling 2008: Proceedings of the 2nd workshop on Information Retrieval for Question Answering,W08-18,0,
