word|occurrences|center
Cluster name: ||semeval
semeval 2020 | 9|
semeval 2017 | 2|
semeval 2018 | 1|
semeval 2020 task | 14|
semeval 2021 task | 12|
semeval 2019 task | 1|
Cluster name: ||sentiment analysis
emotion recognition | 65|
emotion detection | 54|
emotion analysis | 21|
contextual emotion detection | 18|
emotion classification | 16|
emotion | 7|
sentiment analysis | 141|
sentiment classification | 20|
sentiment | 12|
sentiment analysis task | 7|
aspect based sentiment analysis | 9|
multimodal sentiment analysis | 6|
sentiment prediction | 4|
dimensional sentiment analysis | 5|
sentiment detection | 4|
sentiment analysis models | 6|
sentiment analysis systems | 4|
sentiment classifier | 3|
Cluster name: ||part of speech
pos | 31|
part of speech tagging | 25|
joint pos tagging | 2|
pos tagging | 15|
part of speech | 23|
pos tagger | 6|
pos taggers | 6|
Cluster name: || machine translation
machine translation | 280|
translation | 273|
neural mt | 6|
multilingual nmt | 6|
statistical mt | 5|
phrasebased smt | 1|
phrasebased statistical machine translation | 1|
mt service | 3|
neural machine translation | 87|
statistical machine translation | 39|
mt | 129|
nmt | 73|
umt | 2|
mnmt | 3|
nmt) | 2|
unmt systems | 2|
lowresource nmt | 2|
wmt19 | 2|
wmt | 2|
translating | 7|
machine translation research | 7|
smt | 27|
mt workflow | 2|
mt) | 5|
unmt | 3|
machine translators | 2|
patent machine translation | 2|
machine translation of low resource languages | 2|
machine translation techniques | 2|
low resourced machine translation | 2|
machine translation services | 2|
machine translation engines | 2|
machine translation based methods | 2|
neural machine translation model | 2|
online machine translation services | 2|
multilingual neural machine translation model | 2|
multimodal neural machine translation | 2|
supervised neural machine translation | 2|
phrase based machine translation | 3|
machine translation approach | 3|
machine translation model | 3|
machine translations | 3|
neural machine translation approach | 3|
open machine translation | 4|
machine translation technology | 4|
machine translation methods | 4|
multilingual machine translation | 4|
multimodal machine translation | 4|
neural machine translation systems | 5|
neural machine translation models | 5|
mt systems | 19|
machine translation task | 2|
translation process | 13|
translation models | 18|
machine translation? | 2|
ai lab machine translation systems | 2|
cross modal machine translation problem | 2|
sign language machine translation | 2|
online machine translation | 2|
cherokee english machine translation demo | 2|
example based machine translation | 5|
machine translation models | 6|
neural machine translation system | 8|
unsupervised machine translation | 11|
multilingual neural machine translation | 12|
machine translation system | 19|
translation system | 13|
statistical machine translation system | 3|
translation engine | 3|
mt system | 7|
smt system | 2|
machine translation systems | 37|
translation systems | 7|
nmt model | 6|
nmt models | 3|
smt systems | 7|
mt models | 6|
mt technology | 4|
Cluster name: || convolutional neural network
convolutional neural network | 44|
convolutional neural networks | 39|
convolutional neural network model | 2|
convolutional neural network models | 2|
convolution neural network | 5|
cnn | 32|
cnns | 19|
textcnn | 3|
cnn model | 6|
character cnn module | 2|
Cluster name: || deep neural network
deep neural networks | 49|
deep neural network | 12|
deep neural network models | 4|
deep neural network architecture | 2|
deep learning | 104|
deep neural network architectures | 2|
deep learning methods | 38|
deep learning models | 69|
deep learning method | 3|
deep learning systems | 4|
deep learning framework | 5|
deep learning classifiers | 2|
machine learning and deep learning methods | 2|
deep learning model | 19|
deep learning techniques | 16|
deep learning approach | 16|
deep learning architecture | 16|
deep learning architectures | 11|
deep learning algorithms | 7|
deep learning approaches | 9|
Cluster name: || character level neural network
character level neural network | 2|
Cluster name: || neural network
neural networks | 64|
neural network | 36|
neural network models | 29|
neural network based methods | 2|
neural network architectures | 4|
neural network methods | 4|
neural network model | 28|
neural network based approach | 4|
end to end neural network models | 2|
Cluster name: || neural models
neural model | 27|
neural architecture | 25|
neural architectures | 16|
neural approaches | 11|
neural approach | 9|
neural models | 53|
Cluster name: || recurrent neural networks
recurrent neural networks | 39|
recurrent neural network | 20|
rnn | 11|
rnns | 9|
rnn model | 3|
rnn models | 3|
bi rnn model | 2|
recurrent neural network language model | 2|
bidirectional rnn | 2|
bidirectional recurrent neural network | 3|
recurrent networks | 3|
hierarchical recurrent neural network | 3|
bidirectional recurrent neural networks | 2|
Cluster name: || graph neural networks
graph neural networks | 12|
graph neural network | 2|
gcn) | 3|
gcn | 2|
gnns | 2|
graph convolutional networks | 5|
graph convolutional network | 4|
graph convolution networks | 2|
Cluster name: || siamese convolutional neural network
siamese convolutional neural network | 2|
Cluster name: || siamese neural network
siamese neural networks | 3|
Cluster name: || shallow neural networks
shallow neural networks | 2|
Cluster name: ||language technology
language technology | 50|
human language technologies | 15|
human language technology | 12|
speech and language technologies | 8|
language technology tools | 7|
language technologies | 51|
language and speech technology | 4|
Cluster name: ||assistants
voice assistants | 2|
assistants | 2|
virtual assistants | 1|
Cluster name: ||lstm
lstm | 42|
bilstm | 33|
bidirectional lstm | 6|
lstms | 18|
bi lstm | 8|
lstm) | 8|
bilstm crf | 8|
lstm models | 4|
long short term memory (lstm) networks | 4|
bidirectional lstms | 3|
lstm based model | 3|
lstm crf | 3|
bi lstm model | 2|
lstm classifier | 2|
bilstm model | 4|
lstm model | 11|
bi directional lstms | 2|
lstm encoder decoder model | 2|
lstm crf model | 2|
1d conv lstm | 2|
cnn lstm | 4|
lstm based models | 2|
bidirectional lstm network | 2|
bi directional lstm | 5|
bilstm) | 2|
long short term memory recurrent neural network | 2|
long short term memory | 20|
bidirectional long short term memory | 4|
bidirectional long short term memory networks | 2|
long short term memory network | 2|
Cluster name: ||tf idf 
